jid,formula,target_bandgap,predicted_bandgap,prediction_error,distance_from_target,num_elements,total_atoms,crys,spg_number
JVASP-169043,K2TiTe3O12,1.499,1.5023139166666666,0.003313916666666472,0.0023139166666665822,4,18.0,trigonal,166
JVASP-141762,K2TiTe3O12,1.529,1.5023139166666666,0.026686083333333332,0.0023139166666665822,4,18.0,trigonal,166
JVASP-119179,K3Ag9Sb4S12,1.601,1.4976849999999997,0.10331500000000027,0.002315000000000289,4,28.0,tetragonal,82
JVASP-26335,TmBi2BrO4,1.529,1.4975449999999981,0.03145500000000179,0.0024550000000018724,4,8.0,tetragonal,123
JVASP-13299,Dy5AgS8,1.713,1.502478333333332,0.21052166666666805,0.002478333333332028,3,14.0,tetragonal,82
JVASP-1924,InBr,1.556,1.5029870833333343,0.053012916666665744,0.002987083333334306,2,2.0,orthorhombic,63
JVASP-143818,NaLaW2O8,1.315,1.5031399999999997,0.18813999999999975,0.0031399999999996986,4,12.0,tetragonal,82
JVASP-120981,YClO,1.448,1.4965833333333327,0.04858333333333276,0.0034166666666672896,3,3.0,tetragonal,99
JVASP-109835,Na2SmCuCl6,1.316,1.4965699999999982,0.18056999999999812,0.0034300000000018205,4,10.0,cubic,225
JVASP-11471,Mn2P2O7,1.716,1.4964057499999992,0.21959425000000077,0.003594250000000798,3,11.0,monoclinic,12
JVASP-140408,Mn2P2O7,1.597,1.4964057499999992,0.10059425000000077,0.003594250000000798,3,11.0,monoclinic,12
JVASP-9801,MgSb2O4,1.288,1.5037191666666703,0.21571916666667024,0.0037191666666702705,3,7.0,cubic,227
JVASP-163359,Li2CuPO4,1.672,1.4960150000000008,0.17598499999999917,0.003984999999999239,4,8.0,orthorhombic,31
JVASP-106180,CrO3,1.588,1.4958993750000003,0.09210062499999982,0.004100624999999747,2,4.0,orthorhombic,38
JVASP-43520,CrO3,1.589,1.4958993750000003,0.09310062499999971,0.004100624999999747,2,4.0,orthorhombic,38
JVASP-154993,NaCrSi2O6,1.652,1.5044099999999947,0.14759000000000522,0.004409999999994696,4,10.0,monoclinic,15
JVASP-155058,NaCrSi2O6,1.652,1.5044099999999947,0.14759000000000522,0.004409999999994696,4,10.0,monoclinic,15
JVASP-9282,MgSb4O8,1.714,1.5044928924963918,0.20950710750360813,0.004492892496391843,3,13.0,triclinic,1
JVASP-30535,MgSb4O8,1.364,1.5044928924963918,0.14049289249639174,0.004492892496391843,3,13.0,triclinic,1
JVASP-10736,MgSb4O8,1.358,1.5044928924963918,0.14649289249639175,0.004492892496391843,3,13.0,triclinic,1
JVASP-30658,MgSb4O8,1.714,1.5044928924963918,0.20950710750360813,0.004492892496391843,3,13.0,triclinic,1
JVASP-44143,Li3VP2HO8,1.689,1.5048275000000002,0.18417249999999985,0.004827500000000207,5,15.0,triclinic,2
JVASP-112107,TiH14C8O4,1.531,1.495041333333337,0.03595866666666292,0.004958666666663003,4,27.0,triclinic,1
JVASP-46001,Li3SbS4,1.473,1.4948750000000037,0.02187500000000364,0.005124999999996271,3,8.0,monoclinic,9
JVASP-88178,Sm3SiCuSe7,1.51,1.4947498333333313,0.015250166666668674,0.005250166666668665,4,12.0,hexagonal,173
JVASP-164480,Sm3CuSiSe7,1.476,1.4947498333333313,0.018749833333331356,0.005250166666668665,4,12.0,hexagonal,173
JVASP-92227,TbLiSe2,1.607,1.5056766666666694,0.10132333333333055,0.005676666666669439,3,4.0,tetragonal,141
JVASP-145660,Li2VF4,1.5,1.4942265833333346,0.005773416666665421,0.005773416666665421,3,7.0,orthorhombic,33
JVASP-43938,Li2VF4,1.511,1.4942265833333346,0.01677341666666532,0.005773416666665421,3,7.0,orthorhombic,33
JVASP-141202,Ba2DyGaSe5,1.658,1.4941899999999975,0.16381000000000245,0.005810000000002535,4,9.0,triclinic,2
JVASP-2316,PrSF,1.329,1.5061975000000016,0.17719750000000167,0.006197500000001632,3,3.0,tetragonal,129
