jid,formula,predicted_bandgap,prediction_uncertainty,distance_from_target,target_bandgap,prediction_error,num_elements,total_atoms,crys,spg_number
JVASP-164480,Sm3CuSiSe7,1.4947498333333318,0.14633904062512948,0.005250166666668221,1.476,0.0187498333333318,4,12.0,hexagonal,173
JVASP-92227,TbLiSe2,1.5056766666666694,0.38479861097866613,0.005676666666669439,1.607,0.10132333333333055,3,4.0,tetragonal,141
JVASP-43938,Li2VF4,1.4942265833333348,0.07908850657644938,0.005773416666665199,1.511,0.016773416666665097,3,7.0,orthorhombic,33
JVASP-145660,Li2VF4,1.4942265833333348,0.07908850657644938,0.005773416666665199,1.5,0.005773416666665199,3,7.0,orthorhombic,33
JVASP-141202,Ba2DyGaSe5,1.4941899999999975,0.3335853172728078,0.005810000000002535,1.658,0.16381000000000245,4,9.0,triclinic,2
JVASP-58896,AgXeF9,1.4916449999999943,0.28659886422489556,0.008355000000005663,1.438,0.05364499999999439,3,11.0,tetragonal,87
JVASP-13412,AgXeF9,1.4916449999999943,0.28659886422489556,0.008355000000005663,1.438,0.05364499999999439,3,11.0,tetragonal,87
JVASP-63144,CuBSe2,1.5083699999999995,0.26402032705835343,0.008369999999999544,1.617,0.10863000000000045,3,4.0,tetragonal,122
JVASP-12878,CuBSe2,1.5083699999999995,0.26402032705835343,0.008369999999999544,1.617,0.10863000000000045,3,4.0,tetragonal,122
JVASP-26337,ErBi2BrO4,1.5097250000000002,0.04772105798282335,0.009725000000000206,1.504,0.005725000000000202,4,8.0,tetragonal,123
JVASP-162055,LiCrSi2O6,1.4895125595238048,0.3710102004407189,0.010487440476195209,1.551,0.06148744047619514,4,10.0,triclinic,2
JVASP-144273,TiO2,1.4883516904761915,0.23001543263289212,0.011648309523808464,1.482,0.006351690476191552,2,3.0,cubic,205
JVASP-152565,TiO2,1.4883516904761915,0.23001543263289212,0.011648309523808464,1.382,0.10635169047619164,2,3.0,cubic,205
JVASP-26380,LuBi2ClO4,1.5118999999999985,0.3980143841621808,0.011899999999998467,1.545,0.03310000000000146,4,8.0,tetragonal,123
JVASP-1465,ErTlS2,1.5125474999999968,0.23918914376231604,0.012547499999996825,1.542,0.029452500000003212,3,4.0,trigonal,166
JVASP-12141,BaB2Se6,1.5128549999999987,0.39565434911675157,0.012854999999998729,1.626,0.11314500000000116,3,9.0,orthorhombic,64
JVASP-49934,ErTlO2,1.4871400000000008,0.17818400713868796,0.012859999999999205,1.508,0.020859999999999213,3,4.0,trigonal,166
JVASP-99565,VO2F,1.5129094166666688,0.35967634312584695,0.012909416666668783,1.36,0.15290941666666868,3,4.0,monoclinic,9
JVASP-48573,VO2F,1.5129094166666688,0.35967634312584695,0.012909416666668783,1.357,0.1559094166666688,3,4.0,monoclinic,9
JVASP-140632,VO2F,1.5129094166666688,0.35967634312584695,0.012909416666668783,1.483,0.029909416666668687,3,4.0,monoclinic,9
JVASP-104120,H6C11S2O,1.4868633333333352,0.22549142241631565,0.013136666666664798,1.496,0.009136666666664794,4,20.0,triclinic,1
JVASP-104124,H6C11S2O,1.4868633333333352,0.22549142241631565,0.013136666666664798,1.496,0.009136666666664794,4,20.0,triclinic,1
JVASP-103773,H6C11S2O,1.4868633333333352,0.22549142241631565,0.013136666666664798,1.467,0.01986333333333512,4,20.0,triclinic,1
JVASP-1318,CaTe,1.4866404365079373,0.30407347507165144,0.013359563492062687,1.559,0.07235956349206263,2,2.0,cubic,225
JVASP-134423,CaTe,1.4866404365079373,0.30407347507165144,0.013359563492062687,1.557,0.07035956349206263,2,2.0,cubic,225
JVASP-43821,LiCrP2O7,1.5140099999999983,0.14363665931787725,0.014009999999998302,1.433,0.08100999999999825,4,11.0,monoclinic,9
JVASP-49798,Li2CuPO4,1.485891499999999,0.4015749639578521,0.014108500000000967,1.577,0.09110850000000092,4,8.0,triclinic,1
JVASP-97642,KBiP2Se6,1.514356666666663,0.1217549657212293,0.01435666666666302,1.469,0.04535666666666294,4,10.0,monoclinic,14
JVASP-142211,Ba2SmGaSe5,1.4852749999999981,0.3676291737267319,0.014725000000001875,1.63,0.14472500000000177,4,9.0,triclinic,2
JVASP-104139,H6C9SO,1.4852085714285703,0.21031798989714712,0.014791428571429677,1.46,0.02520857142857036,4,17.0,triclinic,1
